UAI,libelle_nature,Nom_etablissement,Nombre d'élèves total ULIS,nombre_eleves_total,Statut_public_prive,Adresse_1,Adresse_2,Code_postal,Nom_commune,ULIS,position,coordX_origine,coordY_origine,epsg_origine,latitude,longitude
0332487Z,COLLEGE,Collège privé Saint Elme,"10,00","510,00",Privé,50 BOULEVARD DEGANNE,,33120,Arcachon,1,"44.65534929922308, -1.1525039056508661",370923.9,6403793.1,EPSG:2154,44.65534929922308,-1.1525039056508661
0331492T,COLLEGE,Collège privé Assomption Sainte Clotilde,"9,00","609,00",Privé,9 rue BEL ORME,,33000,Bordeaux,1,"44.848056006642835, -0.5957783596369092",415984.6,6423010.8,EPSG:2154,44.848056006642835,-0.5957783596369092
0331621H,COLLEGE,Collège Henri de Navarre,"15,00","856,00",Public,9 rue JEAN ZAY,BP 70,33230,Coutras,1,"45.04082038283991, -0.11869991307758714",454491.3,6442801.6,EPSG:2154,45.04082038283991,-0.11869991307758714
0330083L,COLLEGE,Collège Jules Ferry,"15,00","481,00",Public,22 rue Jules Ferry,,33210,Langon,1,"44.549058059517634, -0.2528963752870986",441683.5,6388653.0,EPSG:2154,44.549058059517634,-0.2528963752870986
0330162X,COLLEGE,Collège Eugène Atget,"14,00","354,00",Public,14 rue ABEL BOIREAU,BP 108,33502,Libourne,1,"44.91757897592239, -0.24197022987582603",444230.8,6429516.1,EPSG:2154,44.91757897592239,-0.24197022987582603
0330103H,COLLEGE,Collège Pierre de Belleyme,"15,00","813,00",Public,Rue EDOUARD DE PONTET,BP 114,33250,Pauillac,1,"45.201693775378224, -0.7509541298860303",405602.0,6462813.2,EPSG:2154,45.201693775378224,-0.7509541298860303
0332723F,COLLEGE,Collège Emile Durkheim,"15,00","584,00",Public,44 passage de la Michère,,33240,Peujard,1,"45.04328189903859, -0.42180290721620245",430656.7,6444062.9,EPSG:2154,45.04328189903859,-0.42180290721620245
0331433D,COLLEGE,Collège Pierre Martin,"10,00","364,00",Public,Rue du Collège,1 LE FAURE / BP 2,33420,Rauzan,1,"44.777351372119746, -0.12434098935156113",452889.9,6413579.1,EPSG:2154,44.777351372119746,-0.12434098935156113
0332187Y,COLLEGE,Collège Hastignan,"15,00","838,00",Public,86 avenue Anatole France,,33160,Saint-Médard-en-Jalles,1,"44.89377341980709, -0.7448289417985248",404461.1,6428630.1,EPSG:2154,44.89377341980709,-0.7448289417985248
0333528F,COLLEGE,Collège de Saint-Selve,"11,00","624,00",Public,1 rue du collège,,33650,Saint-Selve,1,"44.666981205309554, -0.48412192751892213",423910.9,6402522.4,EPSG:2154,44.666981205309554,-0.48412192751892213
0331888Y,COLLEGE,Collège du Val de Saye,"15,00","682,00",Public,2 rue du Collège,,33920,Saint-Yzan-de-Soudiac,1,"45.139329958860735, -0.41145166104362557",431931.7,6454685.0,EPSG:2154,45.139329958860735,-0.41145166104362557
0330129L,COLLEGE,Collège Henri Dheurle,"14,00","690,00",Public,9 rue Pierre de Coubertin,,33260,La Teste-de-Buch,1,"44.63231696550532, -1.1365346884966911",372054.3,6401171.8,EPSG:2154,44.63231696550532,-1.1365346884966911
0331617D,COLLEGE,Collège Claude Masse,"15,00","832,00",Public,4 avenue PIERRE BARRE,,33440,Ambarès-et-Lagrave,1,"44.9282023332049, -0.4831464136914807",425267.6,6431505.1,EPSG:2154,44.9282023332049,-0.4831464136914807
0331890A,COLLEGE,Collège André Lahaye,"15,00","730,00",Public,1 avenue DE L ESPERANCE,BP 33,33510,Andernos-les-Bains,1,"44.74595270165103, -1.0880210512702047",376550.2,6413576.8,EPSG:2154,44.74595270165103,-1.0880210512702047
0332288H,COLLEGE,Collège Ausone,"13,00","768,00",Public,5 avenue FRANCK CAZENAVE,BP 20074,33430,Bazas,1,"44.426871286421495, -0.21972771517255607",443762.7,6374983.2,EPSG:2154,44.426871286421495,-0.21972771517255607
0331880P,COLLEGE,Collège Pablo Neruda,"15,00","622,00",Public,1 chemin DE MUSSONVILLE,,33130,Bègles,1,"44.79432703840805, -0.562499679237814",418342.2,6416930.0,EPSG:2154,44.79432703840805,-0.562499679237814
0331754C,COLLEGE,Collège Emmanuel Dupaty,"15,00","757,00",Public,28 rue Marechal de Lattre de Tassigny,BP 121,33291,Blanquefort,1,"44.90678572873168, -0.6282540755296204",413720.9,6429644.3,EPSG:2154,44.90678572873168,-0.6282540755296204
0332768E,COLLEGE,Collège Aliénor d'Aquitaine,"15,00","608,00",Public,16 rue DOM DEVIENNE,,33800,Bordeaux,1,"44.82935744008306, -0.5606440643261218",418664.2,6420810.3,EPSG:2154,44.82935744008306,-0.5606440643261218
0331490R,COLLEGE,Collège privé Lestonnac,"8,00","534,00",Privé,92 route DE FARGUES,,33360,Carignan-de-Bordeaux,1,"44.82173566510237, -0.45952774123427703",426611.4,6419609.4,EPSG:2154,44.82173566510237,-0.45952774123427703
